Input,Response,Bleu-1,Rouge-1
"My final exam is near, but my mental health is getting worse. Any advice?",I am sorry you are having such a hard time right now. I hope things get better soon.,0.6,0.06
Who does mental illness affect?,"Mental illness affects everyone differently. Some people experience symptoms that are noticeable to others, while others may be completely unaware of their own struggles. 
 There are many different types of mental illnesses, but they all have one thing in common—they can impact your life in some way. You might feel anxious or depressed, or you could struggle with thoughts about harming yourself or others. Mental illness can make everyday tasks difficult, like getting out of bed in the morning or making decisions about how to spend your time. It can also affect relationships, work, school, and other areas of your life.",0.45,0.27
What treatment options are available?,There are many different treatments that can help you get better. Your doctor will be able to tell you which ones might work for you.,0.26,0.22
Where can I go to find a support group?,"Support groups are an important resource for people struggling with addiction. They provide a safe place where you can share your experiences and learn from others who have been there, done that. You may be able to attend one of these groups at no cost or low cost through local organizations like Alcoholics Anonymous (AA), Narcotics Anonymous (NA) or other recovery programs. 
 There are many different types of support groups available, including those for alcoholics, drug addicts, gambling addicts, sex addicts, and more. Some groups focus on specific substances, while others cover a variety of issues. Find out what type of group would work best for you by contacting your local AA chapter or NA chapter.",0.21,0.32
What is mental health?,"Mental health refers to how you feel about yourself and your life. It includes things like feelings of happiness, sadness, anger, anxiety, stress, depression, self-esteem, relationships, work, hobbies, and more.",0.17,0.21
What should I do if I am worried about a friend or relative?,"If you are concerned that your loved one may be experiencing a mental illness, talk to them about it. You can ask open-ended questions like, “Do you feel sad all of the time?” or “Are you feeling anxious lately?” Be honest and upfront about what you are worried about.",0.12,0.14
"Is it fair to ask may partner if he can refrain from talking about calories? My partner is an endurance athlete and has been increasing his training intensity, frequency, etc. It is happened a handful of times now where, around meal time, he will reference how many calories he burned per his app or whatever he uses to program his workouts. For context, he references calories in this context like, “I am ready to eat because I am so unusually hungry, which makes sense because I apparently burned x calories during my workout”. He is aware of my ED history and has been supportive so far. I want to ask him not to talk about calories in front of me because it is honestly triggering. That said, I do not know how to approach this conversation or if it is even fair of me to make this request. TIA for any advice or support.",I would just tell him that you are not comfortable with him mentioning calories at all.,0.53,0.12
"I need advice on how to approach my depressed girlfriend. I am seeing her tonight for the first time in a few days. Last time I saw her, I noticed her teeth were unclean, to the point there was physical build up on them. She is my girlfriend, so obviously she is going to want a kiss, but I highly doubt she is brushed them since then. If that is the case, what is the best way to tell her I do not want to kiss her if she has not brushed her teeth in weeks? I need to set my hygienic boundaries but I do not want to offend her or make her feel bad and judged.","You can say something like ""it is not okay for you to have bad breath"" or something along those lines.",0.39,0.19
"Partners drug test kit was positive. I am seeking advice. My partner of 10 years has always struggled with addiction. Heroin in the past, opioids and benzos etc. He is currently getting monthly buvidal (Buprenorphine) injections at his doctor.. I have been trying to support him as much as I can. We have been through a lot and I adore him. He is not a bad human, he is a hard working beautiful human that is struggling. Last night I took a drink from a water bottle in my car, that he had bought that day - it tasted like chemicals and I felt strange after. Upon asking him, he denyed anything (maybe It was in my head). I got an at home drug test kit this morning and tested the bottle/ water. It tested positive for opioids and methadone. I confronted him and he said he f'd up.. I do not know what to do.. it is the looking me in the eyes and lying.. I feel like such a fool. We are actively trying to conceive.. I am feeling numb as it is just a repeat cycle of dishonesty. The trust is broken. I do not know who to turn to for support.. for either of us. I have attended appointments with his doctor, I did not think opioids were supposed to have an affect when on the injections.. that taking drugs were pointless. I do not know what to do anymore.. I am exhausted by it.. and I am fully aware he is too.",I would go to your doctor and ask them if they could get you some help. You need to be able to talk about this without being judged or blamed.,0.25,0.15
I have a final exam soon but I have mental health problems. What should I do?,You are doing great! You are making progress every day. Keep up the good work.,0.44,0.05
Which types of people are affected from a mental disorder?,"People who experience a mental illness may be different from each other in many ways. Some common characteristics include:
 •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •  •",0.07,0.08
Which treatments could I receive?,"There are many different treatment options available for people who have an eating disorder. 
 You can find out more about these treatments on the Eating Disorders Association of Australia website. 
 There are also some good resources available from your local health department or community services provider. 
 For example, you may be able to access a referral to a specialist in your area. 
 You can also get help from your GP if they feel that you need additional support. 
 If you would like to talk to someone about your thoughts and feelings, there are also some good counselling services available in your area. 
 You can also contact Lifeline on 13 11 14 for free phone counselling. 
 You can also get help from your GP if they feel that you need additional support. 
 If you would like to talk to someone about your thoughts and feelings, there are also some good counselling services available in your area. 
 You can also contact Lifeline on 13 11 14 for free phone counselling. 
 You can also get help from your GP if they feel that you need additional support. 
 If you would like to talk to someone about your thoughts and feelings, there are also some good counselling services available in your area. 
 You can also contact Lifeline on 13 11 14 for free phone counselling",0.09,0.14
Where should I look for a therapy group?,"Therapy groups are an excellent way to meet other people who have similar experiences as you do. You can share your thoughts and feelings with others, learn from each other’s experiences, and find ways to cope with common challenges. 
 There are many different types of therapy groups available, including those that focus on specific issues such as anxiety or depression, or those that offer more general support like grief counselling or parenting classes. 
 Find out what type of therapy group is right for you by talking to your doctor or therapist. They may be able to recommend a group that’s right for you based on your needs and interests. 
 Look for groups near where you live. Some groups are offered at local hospitals, clinics, schools, libraries, community centres, churches, and other places. 
 You might want to consider joining a group if you: 
 
 Have trouble getting started on your own. Therapy groups often start with a small group of people who all get together once a week to talk about their problems and how they’re coping. 
 Want to make new friends. Many groups offer social events and activities so you can meet new people and build friendships. 
 Need help finding a job. Some groups offer job fairs and workshops to help you find work.",0.13,0.2
Describe mental health.,I am a 17 year old male who has been diagnosed with depression and anxiety disorder. I have been going through this for about 2 years now. It started when I was around 12-13 years of age. I do not really remember what triggered it but I guess it was something that happened at school or something like that. I used to be very active and outgoing person but since then I feel like I am just a shell of myself. I cannot even express my feelings anymore because I feel so numb inside. I do not want to go out of my house anymore because I feel so alone. I hate being me. I wish I could be someone else.,0.04,0.06
What could I do if a friend or family member has my concern?,"If you are concerned about someone, call them and ask how they are doing. You can also reach out to your local social service agency for information on resources that may be helpful. 
 If you have concerns about someone who is experiencing homelessness, contact the shelter where they stay. They will help you find housing options that meet their needs.",0.15,0.2
"Is it appropriate to request that my partner refrain from bringing up calories? My partner has been upping the volume, frequency, and other aspects of his training. He has mentioned how many calories he expended according to his app or whatever he uses to schedule his workouts a few times recently, usually around mealtime. He is aware of my past with eating disorders and has so far shown support. Since talking about calories in front of me is actually triggering, I want to ask him to refrain. Having said that, I'm not sure how to start this conversation or even if my request is reasonable. TIA for any assistance or counsel.","I would say yes, but you need to be very clear about what you are asking. You do not want to make him feel like you are trying to control him or anything. Just tell him that you are upset because it makes you uncomfortable and that you do not want to hear about how much he burns at each session.",0.46,0.29
"How should I approach my depressed girlfriend? I need advice. Tonight is the first time I've seen her in a few days. When I last saw her, I observed that her teeth were so filthy that there was actual buildup on them. She is my girlfriend, so it goes without saying that she will want to kiss me, but I seriously doubt she has kissed them afterwards. If that's the case, how can I tell her if she hasn't washed her teeth in days that I don't want to kiss her? While I must establish my own boundaries for hygiene, I do not want to hurt her feelings or make her feel terrible or criticized.","I would just say something like ""hey babe, you have been really down lately, are you okay?""",0.23,0.07
"Partners' drug test kit returned a positive result. I need some guidance. For the past ten years, my spouse has battled addiction. In the past, heroin, opioids, benzos, etc. He currently receives monthly injections of buvidal (buprenorphine) from his physician. I've been doing everything I can to help him. Since the circle of dishonesty is just repeated, I am feeling numb. Trust has been betrayed. For either of us, I am unsure of who to turn to for help. I've been to visits with his doctor since I didn't believe opioids should have an effect while being injected and that taking medicines was useless. I'm at a loss on what to do now. It has worn me out.",I would go to your local hospital or clinic and ask if they could refer you to a substance abuse program. They will be able to give you more information about how to get started.,0.24,0.16
Make this,I want to be able to make my own decisions when I am older. I do not want to have to ask my parents for permission on anything.,0.1,0.1
How can I improve my studying skills?,"Studying for exams or tests can be difficult, but if you learn how to study effectively, you can make your learning experience more enjoyable and help you retain information better. 
 Here are some tips that may help you: 
 
 1. Plan ahead. 
 Make sure you have enough time to complete all of your assignments. 
 2. Set realistic goals. 
 You should aim to finish each assignment on time, so you don’t waste too much time on something you can’t do well. 
 3. Use effective study techniques. 
 Try different ways of learning, such as reading, writing, drawing, listening, watching, doing, and thinking about what you’re learning. 
 4. Take breaks. 
 It is important to take short breaks every hour or two to stretch out your legs and clear your mind. 
 5. Review your work after completing an assignment. 
 This will help you see where you need to focus your attention next time. 
 6. Check your notes regularly. 
 Make sure you check them at least once a day to ensure they’re up to date. 
 7. Write down any questions you have. 
 Writing down your questions will help you remember things when you read again. 
 8. Read slowly. 
 Reading quickly can lead to mis",0.02,0.04
Should I study computer engineering?,"Computer Engineering is a great career choice for those who enjoy problem-solving, working with technology, and creating new things. 
 Computer engineers are responsible for designing, developing, maintaining, and improving computer systems and software. They work closely with other professionals, such as programmers, designers, business owners, and users, to create innovative solutions that improve our lives. 
 Computer engineers can work at companies or organizations that develop, manufacture, sell, support, or maintain computers, software, telecommunications equipment, and other electronic devices. They may also work independently, either on their own or in teams, to design, build, test, and troubleshoot products. 
 Computer engineers often work in fields such as: 
 
 * Software development (programming) - writing programs to solve problems 
 * Hardware development - building hardware components of computers and other electronic devices 
 * Networking - connecting computers together to share data and information 
 * Security - protecting computer networks from hackers and viruses 
 * Business management - managing projects and budgets, hiring employees, and supervising others 
 * Marketing - promoting products and services through advertising, public relations, and sales techniques 
 * Education - teaching students how to use computers and other electronic devices 
 * Research - studying the latest technologies and applying them to everyday life",0.01,0.0
I cannot afford a new laptop,You can get one for free,0.0,0.12
Thinking in changing my look. Any advice?,I am sorry for your loss but I think you are doing great. You have been through so much already and I hope that you can find some comfort from knowing that you were able to help her get better. It sounds like she was struggling with depression and anxiety and maybe even eating disorders. She may have been thinking about changing her appearance because of this. I would suggest finding a therapist who specializes in transgender issues. They will be able to help you figure out what might be going on with her and how you can help.,0.05,0.11
"My finnal exam near, bt my mentall helth is geting wors. Any advise?",I am so sorry for your loss of your mom. I hope you are able to find some comfort in knowing that she was happy and loved.,0.66,0.1
Who do mental illnes afect?,"Mental illness affects everyone differently. Some people may experience symptoms of depression or anxiety without experiencing any problems at all. Others may have difficulty concentrating, feel tired all the time, or find it hard to make decisions.",0.43,0.11
