Input,Response,Bleu-1,Rouge-1
"My final exam is near, but my mental health is getting worse. Any advice?",I am so sorry for your situation. I hope you get some help soon.,0.81,0.07
Who does mental illness affect?,Mental illness affects everyone differently. Some people experience symptoms that are so severe they need treatment or even hospitalization. Others may have mild symptoms but still feel like their life has been turned upside down. Mental illness can be hard on your family too.,0.44,0.14
What treatment options are available?,"There are many different treatments that can help you manage your symptoms. Some of these treatments include: medication, psychotherapy, cognitive behavioral therapy (CBT), group therapy, family therapy, and other types of counseling.",0.21,0.19
Where can I go to find a support group?,"Support groups are an important resource for people who struggle with mental illnesses like depression or anxiety. They provide a safe place where you can share your experiences and learn from others who have similar struggles. You may be able to find support groups near you at local hospitals, community centers, churches, schools, libraries, and other organizations. 
 Support groups can help you get connected with other people who understand what you’re going through. You’ll meet new friends and make connections that can help you feel less alone. Some groups offer activities and social events, while others focus on sharing stories and learning about common issues.",0.21,0.29
What is mental health?,"Mental health refers to your thoughts, feelings, behaviors, and relationships with others. 
 Mental illnesses are conditions that affect how you think, feel, or behave. They can be caused by physical problems, such as brain injuries or certain types of cancer, or they may be due to psychological factors, such as depression or anxiety. Some people experience more than one type of mental illness at once.",0.12,0.15
What should I do if I am worried about a friend or relative?,"If you are concerned about someone close to you, you may want to talk to them directly. You can call their cell phone, send them an email, or write them a letter. You might also want to check in with your doctor or other healthcare provider.",0.17,0.21
"Is it fair to ask may partner if he can refrain from talking about calories? My partner is an endurance athlete and has been increasing his training intensity, frequency, etc. It is happened a handful of times now where, around meal time, he will reference how many calories he burned per his app or whatever he uses to program his workouts. For context, he references calories in this context like, “I am ready to eat because I am so unusually hungry, which makes sense because I apparently burned x calories during my workout”. He is aware of my ED history and has been supportive so far. I want to ask him not to talk about calories in front of me because it is honestly triggering. That said, I do not know how to approach this conversation or if it is even fair of me to make this request. TIA for any advice or support.","I would say yes, you are asking your partner to be supportive and understanding. You should not feel guilty about asking them to stop doing that.",0.52,0.18
"I need advice on how to approach my depressed girlfriend. I am seeing her tonight for the first time in a few days. Last time I saw her, I noticed her teeth were unclean, to the point there was physical build up on them. She is my girlfriend, so obviously she is going to want a kiss, but I highly doubt she is brushed them since then. If that is the case, what is the best way to tell her I do not want to kiss her if she has not brushed her teeth in weeks? I need to set my hygienic boundaries but I do not want to offend her or make her feel bad and judged.",You are right about the teeth. You should have told her before you kissed her.,0.35,0.13
"Partners drug test kit was positive. I am seeking advice. My partner of 10 years has always struggled with addiction. Heroin in the past, opioids and benzos etc. He is currently getting monthly buvidal (Buprenorphine) injections at his doctor.. I have been trying to support him as much as I can. We have been through a lot and I adore him. He is not a bad human, he is a hard working beautiful human that is struggling. Last night I took a drink from a water bottle in my car, that he had bought that day - it tasted like chemicals and I felt strange after. Upon asking him, he denyed anything (maybe It was in my head). I got an at home drug test kit this morning and tested the bottle/ water. It tested positive for opioids and methadone. I confronted him and he said he f'd up.. I do not know what to do.. it is the looking me in the eyes and lying.. I feel like such a fool. We are actively trying to conceive.. I am feeling numb as it is just a repeat cycle of dishonesty. The trust is broken. I do not know who to turn to for support.. for either of us. I have attended appointments with his doctor, I did not think opioids were supposed to have an affect when on the injections.. that taking drugs were pointless. I do not know what to do anymore.. I am exhausted by it.. and I am fully aware he is too.",I would go to your doctor and ask them if they could get you some help. You need to be able to talk about this without being judged or blamed.,0.25,0.15
I have a final exam soon but I have mental health problems. What should I do?,You are doing great! You are making progress. Keep up the good work.,0.5,0.05
